produto_id,nome,categoria,preco
1,Teclado Mecânico Gamer RGB,Periféricos,550.0
2,Mouse Gamer Óptico Ultraleve,Periféricos,380.0
3,Headset Gamer Surround 7.1,Periféricos,620.0
4,Monitor Gamer 27'' 144Hz IPS,Periféricos,1800.0
5,Placa de Vídeo RTX 4070 Ti SUPER,Hardware Interno,6500.0
6,Processador Intel Core i7-14700K,Hardware Interno,2800.0
7,Placa Mãe ATX Z790 Gamer,Hardware Interno,1500.0
8,Memória RAM DDR5 32GB (2x16GB) 6000MHz,Hardware Interno,950.0
9,SSD NVMe Gen4 1TB Gamer,Hardware Interno,550.0
10,Fonte Modular 750W 80 Plus Gold,Hardware Interno,700.0
11,Gabinete Mid-Tower Gamer RGB,Hardware Interno,600.0
12,Cadeira Gamer Ergonômica com Suporte Lombar,Mobiliário,1200.0
13,Mousepad Gamer Extra Grande,Periféricos,120.0
14,Webcam Full HD para Streaming,Periféricos,450.0
15,Controle Gamer Multiplataforma,Periféricos,300.0
